time,energy
379363844.754847,1515
379363848.138218,7642
379363850.864635,4170
379363848.932029,1066
379363853.265313,11076
379363852.020723,2366
379363855.064544,349
379363858.645932,2706
379363857.987835,3369
379363858.54053,12886
379363859.143381,4624
379363859.002092,13024
379363862.28097,685
379363865.761949,301
379363864.402772,12890
379363867.112348,6687
379363870.580313,4665
379363871.387713,2203
379363873.193113,9417
379363875.277427,7642
379363874.69659,154
379363876.510752,696
379363878.729594,1883
379363881.947416,878
379363879.978716,1491
379363883.743002,730
379363882.616021,3978
379363885.055459,689
379363886.555518,8214
379363889.032427,8373
379363888.914483,1067
379363891.213069,674
379363892.420022,4092
379363892.0508,1964
379363894.340284,99
379363895.298852,1134
379363895.577617,741
379363896.958825,823
379363900.416471,719
379363900.40287,2003
379363900.956903,547
379363901.191439,2645
379363904.01488,3512
379363904.525276,4743
379363906.311322,4659
379363906.124885,1092
379363908.552499,2856
379363908.831926,10108
379363913.043958,1513
379363916.006586,1242
379363914.544482,176
379363915.71863,963
379363918.040132,356
379363918.814387,5245
379363920.121053,361
379363922.846767,1340
379363923.191351,1934
379363926.203144,2972
379363926.624394,299
379363928.118534,92
379363930.322986,7670
379363932.560659,399
379363933.40928,691
379363935.454319,339
379363939.437643,878
379363937.808556,12729
379363940.70991,4618
379363941.083056,6677
379363940.019462,9166
379363942.219143,575
379363943.64155,12877
379363946.537874,813
379363949.774935,2868
379363950.04561,12693
379363954.819678,553
379363953.6638,832
379363953.44745,1028
379363956.942114,3756
379363956.720423,363
379363958.552468,1637
379363957.780792,6701
379363961.573065,4732
379363960.483277,1689
379363963.72472,2660
379363964.582778,12708
379363965.000877,9423
379363968.126884,310
379363966.451403,1566
379363968.435079,12713
379363972.846781,1669
379363972.389407,7439
379363974.43289,102
379363976.065188,9934
379363981.020595,2133
379363979.609247,1534
379363983.618921,1199
379363985.27168,3159
379363985.160092,102
379363984.232979,716
379363988.675017,2952
379363986.623807,12902
379363986.677841,338
379363990.479949,1216
379363994.041598,1218
379363992.753599,12715
379363994.832602,1195
379363994.939535,3250
379363997.243921,5367
379363999.68701,3078
379364000.489232,8160
379364002.039318,1240
379364003.235801,12906
379364005.462219,430
379364005.464347,1212
